30/07/2019,23:00:00,
S=ADXL355 Tacc=24.34 Tint=28.32 Vbat=4.329 VCCIO=3.310 VCCCORE=1.226 LED=0
HEARTBEAT
30/07/2019,23:58:22,
S=ADXL355 C=53 F=125.00
55.8080,611.3920,16463.1680
45.0560,603.5200,16434.2402
36.2240,580.9920,16393.6641
33.7280,561.4080,16371.0723
42.2400,543.8720,16372.0957
52.2240,542.7840,16387.5195
59.1360,564.7360,16385.0234
56.8320,585.5360,16383.2959
54.9120,603.9040,16380.9277
55.0400,595.8400,16391.2324
60.2240,583.8720,16410.2402
57.6640,565.6320,16433.0234
56.7680,562.4960,16429.6953
49.6000,565.5680,16406.7207
45.3120,578.8800,16377.4717
45.8240,580.4160,16366.4004
50.7520,583.2320,16356.0957
55.3600,568.0000,16371.7764
54.9760,566.1440,16395.1992
52.2880,573.1840,16417.0879
49.8560,576.5760,16426.5605
50.1120,581.4400,16415.6152
50.4960,587.8400,16398.3359
49.2160,588.9280,16388.0312
44.9920,578.1760,16380.7363
48.1920,565.3760,16373.3115
51.2640,560.8320,16380.9922
53.7600,568.3840,16396.4805
51.1360,577.4720,16406.5918
46.8480,582.4640,16407.8086
53.3120,584.3840,16406.1445
58.9440,585.9200,16397.6328
54.4000,580.2240,16390.2715
51.9040,569.9200,16383.2324
49.7920,570.4320,16391.7441
48.1280,572.7360,16400.2559
48.5120,572.0960,16402.6875
49.6640,573.3120,16389.8242
50.9440,580.4800,16394.7520
54.6560,584.0640,16399.2324
57.0880,577.8560,16393.5352
52.6080,574.2720,16398.4648
51.3280,573.2480,16396.8633
54.2080,571.5200,16390.6562
51.6480,571.5840,16389.5039
51.0080,570.7520,16385.4082
50.7520,579.6480,16391.5527
51.8400,582.4000,16397.6328
53.9520,580.1600,16401.5996
47.0400,578.4960,16397.1836
48.6400,573.8880,16404.1602
51.6480,573.5680,16411.6484
49.2800,573.1840,16399.8086
48.6400,574.6560,16384.8320
52.5440,579.3280,16381.9521
53.3760,576.0640,16392.8320
51.6480,572.6080,16384.1914
56.8320,567.4880,16379.7764
59.4560,569.6000,16391.8711
56.9600,579.5840,16410.6875
42.9440,588.9920,16414.4648
39.8720,587.2640,16411.0723
45.5040,579.4560,16406.4004
51.3920,568.3840,16394.2402
52.1600,563.8400,16370.7520
54.4640,563.3280,16362.8164
55.6160,570.1120,16384.5117
55.2320,574.3360,16407.4883
54.5280,580.4800,16416.7031
55.2960,581.0560,16411.6484
57.0240,582.7200,16396.9922
53.5680,577.1520,16384.4473
49.9200,570.6240,16378.4961
46.2720,568.0000,16387.2637
44.2240,573.5680,16398.9766
44.9920,579.7760,16402.3672
48.2560,577.1520,16400.6406
52.1600,577.5360,16399.1035
57.2800,580.7360,16398.7207
56.3200,576.8320,16402.6875
53.8880,572.2880,16391.8086
52.6720,571.2000,16386.8164
51.6480,570.0480,16380.5439
55.3600,570.5600,16387.5840
56.5120,576.1280,16391.8711
52.9920,579.1360,16397.1191
52.5440,589.8880,16409.0234
47.1040,588.2240,16412.6719
44.8000,578.2400,16408.1289
47.4880,569.5360,16395.9688
49.0240,564.2880,16379.7764
50.0480,569.2160,16375.0400
49.1520,577.7920,16381.7598
49.8560,584.8960,16401.4727
55.3600,588.0320,16419.3926
55.4240,577.9200,16416.1914
59.1360,566.9760,16402.8809
57.2160,564.4160,16382.1436
51.3280,568.1920,16362.8164
45.8880,578.6880,16369.5361
45.4400,587.3920,16385.4727
49.6640,585.7920,16410.1113
55.4880,583.8720,16423.9355
56.0640,575.1040,16418.1758
49.1520,569.6640,16400.0645
49.1520,568.8960,16381.9521
49.2800,567.8080,16377.0879
54.0800,572.1600,16383.8076
57.6000,573.7600,16390.7207
55.1040,577.6640,16398.2070
53.8240,581.1840,16392.5117
52.6720,579.6480,16391.6152
49.3440,575.8080,16392.5762
50.9440,577.1520,16403.7754
48.5760,577.6000,16413.9512
50.2400,575.4240,16406.7832
47.1040,576.6400,16388.9277
46.6560,575.7440,16371.7764
50.4960,574.0800,16374.6562
55.2960,575.2320,16388.1602
56.3840,577.6000,16403.1992
57.2800,577.7920,16408.5762
